"GCH240","24A","2","2","Filosofia","0"
"GCH244","25A","1","48","Let","0"
"GCH245","25A","2","19","Let","6"
"GCH246","24A","2","5","Filosofia","0"
"GCH248","25A","1","13","Let","0"
"GCH251","24A","1","7","Filosofia","0"
"GCH252","25A","1","32","Let","0"
"GCH253","25A","1","24","Let","0"
"GDE101","15A","2","34","MAT","1"
"GDE101","18A","2","14","FIS","2"
"GDE101","24A","2","57","Filosofia","1"
"GDE101","25A","2","36","Let","3"
"GDE102","15A","1","8","MAT","2"
"GDE102","15B","1","3","MAT","3"
"GDE102","17A","1","2","EDF","0"
"GDE102","25A","1","22","Let","5"
"GDE103","15A","2","1","MAT","3"
"GDE103","18A","2","1","FIS","3"
"GDE103","24A","2","15","Filosofia","3"
"GDE105","17A","2","1","EDF","0"
"GDE105","18A","2","9","FIS","7"
"GDE105","24A","2","21","Filosofia","5"
"GDE116","15A","2","15","MAT","6"
"GDE116","18A","2","5","FIS","6"
"GDE116","25A","2","1","Let","6"
"GDE120","15A","2","18","MAT","3"
"GDE120","25A","2","16","Let","4"
"GDE123","15A","1","18","MAT","3"
"GDE123","18A","1","33","FIS","1"
"GDE123","24A","1","3","Filosofia","0"
"GDE123","25A","1","22","Let","6"
"GDE124","15A","1","31","MAT","8"
"GDE124","18A","1","22","FIS","4"
"GDE124","18B","1","20","FIS","8"
"GDE124","24A","1","49","Filosofia","7"
"GDE124","25A","1","43","Let","8"
"GDE125","24A","1","4","Filosofia","0"
"GDE125","26A","1","70","Adm Pub","1"
"GDE125","36A","1","40","PED.","0"
"GDE127","15A","2","1","MAT","0"
"GDE127","18A","2","1","FIS","0"
"GDE127","36A","2","4","PED.","0"
"GDE128","15A","2","5","MAT","0"
"GDE128","18A","2","4","FIS","0"
"GDE128","36A","2","8","PED.","0"
"GDE132","25A","1","21","Let","4"
"GDE135","36A","2","50","PED.","1"
"GDE136","36A","3","48","PED.","1"
"GDE137","36A","2","51","PED.","1"
"GDE138","36A","3","50","PED.","1"
"GDE139","36A","2","46","PED.","1"
"GDE141","14A","3","1","BSI","0"
"GDE141","14B","3","1","BSI","0"
"GDE141","15A","3","1","MAT","0"
"GDE141","15B","3","1","MAT","0"
"GDE141","18A","3","2","FIS","0"
"GDE141","18B","3","2","FIS","0"
"GDE141","24A","3","1","Filosofia","0"
"GDE141","24B","3","2","Filosofia","0"
"GDE141","26A","3","1","Adm Pub","0"
"GDE141","26B","3","2","Adm Pub","0"
"GDE141","27A","3","2","DIR","0"
"GDE141","27B","3","1","DIR","0"
"GDE142","36A","2","34","PED.","2"
"GDE143","36A","3","36","PED.","2"
"GDE145","36A","2","34","PED.","2"
"GDE146","36A","3","43","PED.","2"
"GDE147","36A","2","35","PED.","3"
"GDE148","36A","3","32","PED.","3"
"GDE149","36A","2","32","PED.","3"
"GDE150","36A","2","34","PED.","3"
"GDE151","36A","1","40","PED.","3"
"GDE183","36A","1","21","PED.","0"
"GDE184","15A","3","1","MAT","0"
"GDE184","24A","3","1","Filosofia","0"
"GDE186","36A","1","26","PED.","0"
"GDE187","36A","1","23","PED.","0"
"GDI101","24A","2","5","Filosofia","0"
"GDI101","27A","2","67","DIR","1"
"GDI104","27A","1","23","DIR","0"
"GDI105","26A","2","4","Adm Pub","0"
"GDI105","27A","2","56","DIR","2"
"GDI106","27A","2","51","DIR","2"
"GDI107","27A","2","63","DIR","3"
"GDI108","27A","2","64","DIR","3"
"GDI109","27A","2","51","DIR","2"
"GDI111","27A","2","54","DIR","4"
"GDI112","27A","2","61","DIR","3"
"GDI113","27A","2","37","DIR","8"
"GDI114","27A","2","59","DIR","4"
"GDI117","27A","2","48","DIR","5"
"GDI118","27A","2","61","DIR","4"
"GDI120","27A","1","59","DIR","3"
"GDI122","27A","2","45","DIR","6"
"GDI123","27A","2","43","DIR","6"
"GDI124","27A","2","58","DIR","4"
"GDI126","27A","2","55","DIR","5"
"GDI127","27A","2","49","DIR","5"
"GDI128","27A","2","45","DIR","6"
"GDI129","27A","2","42","DIR","6"
"GDI130","27A","2","48","DIR","7"
"GDI130","27B","2","30","DIR","8"
"GDI131","27A","2","45","DIR","6"
"GDI132","27A","2","47","DIR","7"
"GDI132","27B","2","29","DIR","8"
"GDI134","27A","2","48","DIR","7"
"GDI137","27A","2","33","DIR","8"
"GDI138","27A","2","60","DIR","4"
"GDI156","27A","1","61","DIR","3"
"GDI157","27A","1","57","DIR","5"
"GDI158","26A","1","49","Adm Pub","2"
"GDI160","27A","2","52","DIR","7"
"GDI161","27A","2","48","DIR","7"
"GDI162","27A","2","32","DIR","8"
"GDI164","26A","2","5","Adm Pub","0"
"GDI165","27A","2","57","DIR","2"
"GDI166","26A","2","4","Adm Pub","0"
"GDI169","26A","2","48","Adm Pub","4"
"GDI170","26A","2","34","Adm Pub","3"
"GDI175","27A","2","53","DIR","2"
"GDI176","27A","2","49","DIR","5"
"GDI179","27A","1","25","DIR","0"
"GDI181","27A","1","30","DIR","0"
"GDI184","27A","1","28","DIR","0"
"GDI197","27A","1","31","DIR","0"
"GDI200","27A","1","27","DIR","0"
"GDI202","27A","1","30","DIR","0"
"GDI207","27A","1","47","DIR","0"
"GDI225","27A","1","26","DIR","0"
"GDI226","27A","1","28","DIR","0"
"GDI227","27A","1","23","DIR","0"
"GDI228","27A","1","30","DIR","0"
"GDI229","27A","1","30","DIR","0"
"GEX101","26A","1","73","Adm Pub","1"
"GEX102","15A","2","37","MAT","1"
"GEX102","18A","2","43","FIS","1"
"GEX103","14A","2","9","BSI","1"
"GEX103","15A","2","30","MAT","1"
"GEX103","24A","2","9","Filosofia","6"
"GEX104","14A","3","31","BSI","1"
"GEX104","15A","3","26","MAT","2"
"GEX104","18A","3","40","FIS","1"
"GEX105","15A","2","12","MAT","2"
"GEX106","15A","2","27","MAT","3"
"GEX106","18A","2","48","FIS","2"
"GEX108","15A","2","57","MAT","4"
"GEX108","18A","2","44","FIS","3"
"GEX109","15A","2","15","MAT","3"
"GEX109","15B","2","1","MAT","4"
"GEX109","18A","2","15","FIS","3"
"GEX112","14A","2","7","BSI","2"
"GEX112","15A","2","7","MAT","4"
"GEX112","26A","2","23","Adm Pub","2"
"GEX112","26B","2","23","Adm Pub","2"
"GEX114","14A","2","6","BSI","8"
"GEX114","15A","2","17","MAT","4"
